codigo,descricao,salario_medio_atual,modelo_vencedor,score,previsao_5,previsao_10,previsao_15,previsao_20,tendencia_salarial,tendencia_mercado
842205,Preparador de Fumo na Fabricacao de Charutos,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
842210,Operador de Maquina de Fabricar Charutos e Cigarrilhas,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
842215,Classificador de Charutos,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
842220,Cortador de Charutos,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
842225,Celofanista na Fabricacao de Charutos,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
842230,Charuteiro a Mao,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
842235,Degustador de Charutos,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
842305,Operador de Maquina de Fabricar Cigarros,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
848105,Defumador de Carnes e Pescados,1468.3333333333335,XGBoost,0.9999729117470969,1467.632080078125,1467.632080078125,1467.632080078125,1467.632080078125,Estável,CRESCIMENTO LEVE
848110,Salgador de Alimentos,1678.5,XGBoost,0.9999656516121251,1676.92333984375,1676.92333984375,1676.92333984375,1676.92333984375,Estável,CRESCIMENTO LEVE
848115,"Salsicheiro (Fabricacao de Linguica, Salsicha e Produtos Similares)",1548.7562695924767,XGBoost,0.9999677325027448,1546.4970703125,1546.4970703125,1546.4970703125,1546.4970703125,Estável,RETRAÇÃO LEVE
848205,Pasteurizador,1410.35,XGBoost,0.9999723951935721,1409.541748046875,1409.541748046875,1409.541748046875,1409.541748046875,Estável,RETRAÇÃO LEVE
848210,Queijeiro na Fabricacao de Laticinio,1541.1999999999998,XGBoost,0.9999696730733331,1539.0252685546875,1539.0252685546875,1539.0252685546875,1539.0252685546875,Estável,RETRAÇÃO LEVE
848215,Manteigueiro na Fabricacao de Laticinio,1302.0,Fallback,0.0,1302.0,1302.0,1302.0,1302.0,Estável,RETRAÇÃO LEVE
848305,Padeiro,1403.2797486368781,XGBoost,0.9999690139001457,1401.939697265625,1401.939697265625,1401.939697265625,1401.939697265625,Estável,CRESCIMENTO LEVE
848310,Confeiteiro,1508.6465148635807,XGBoost,0.9999673787524533,1506.8095703125,1506.8095703125,1506.8095703125,1506.8095703125,Estável,CRESCIMENTO LEVE
848315,Masseiro (Massas Alimenticias),1428.872564935065,XGBoost,0.9999681928108823,1427.1370849609375,1427.1370849609375,1427.1370849609375,1427.1370849609375,Estável,CRESCIMENTO LEVE
848325,Trabalhador de Fabricacao de Sorvete,1458.8472222222222,XGBoost,0.999967851073934,1456.842041015625,1456.842041015625,1456.842041015625,1456.842041015625,Estável,CRESCIMENTO LEVE
848405,Degustador de Cafe,1550.3333333333335,XGBoost,0.999967225548812,1548.0989990234375,1548.0989990234375,1548.0989990234375,1548.0989990234375,Estável,RETRAÇÃO LEVE
848410,Degustador de Cha,,Fallback_after_preproc,0.0,0.0,0.0,0.0,0.0,Sem dados,Sem dados
848415,Degustador de Derivados de Cacau,,NoData_Fallback,0.0,,,,,Sem dados,Sem dados
848420,Degustador de Vinhos ou Licores,1302.0,Fallback,0.0,1302.0,1302.0,1302.0,1302.0,Estável,RETRAÇÃO LEVE
848425,Classificador de Grãos,1322.904761904762,XGBoost,0.9999678587062691,1322.0042724609375,1322.0042724609375,1322.0042724609375,1322.0042724609375,Estável,RETRAÇÃO LEVE
848505,Abatedor,1486.4521621621623,XGBoost,0.9999679588373354,1484.1688232421875,1484.1688232421875,1484.1688232421875,1484.1688232421875,Estável,CRESCIMENTO LEVE
848510,Acougueiro,1499.1949434863304,XGBoost,0.9999678721227476,1497.0819091796875,1497.0819091796875,1497.0819091796875,1497.0819091796875,Estável,CRESCIMENTO LEVE
848515,Desossador,1535.5793087121212,XGBoost,0.999967445365938,1533.0205078125,1533.0205078125,1533.0205078125,1533.0205078125,Estável,RETRAÇÃO LEVE
848520,Magarefe,1397.3684210526317,XGBoost,0.9999713499107248,1395.76611328125,1395.76611328125,1395.76611328125,1395.76611328125,Estável,CRESCIMENTO LEVE
848525,Retalhador de Carne,1421.904356060606,XGBoost,0.9999681764838598,1420.4022216796875,1420.4022216796875,1420.4022216796875,1420.4022216796875,Estável,RETRAÇÃO LEVE
848605,Trabalhador do Beneficiamento de Fumo,1518.0,Fallback,0.0,1518.0,1518.0,1518.0,1518.0,Estável,CRESCIMENTO LEVE
860105,Supervisor de Manutencao Eletromecanica (Utilidades),2013.1118881118882,XGBoost,0.9999845805119253,2012.9505615234375,2012.9505615234375,2012.9505615234375,2012.9505615234375,Estável,RETRAÇÃO LEVE
860110,"Supervisor de Operacao de Fluidos (Distribuicao, Captacao, Tratamento de Agua, Gases, Vapor)",2288.75,XGBoost,0.9999727030770322,2285.669921875,2285.669921875,2285.669921875,2285.669921875,Estável,RETRAÇÃO LEVE
860115,"Supervisor de Operacao Eletrica (Geracao, Transmissao e Distribuicao de Energia Eletrica)",3012.8662207357856,XGBoost,0.9999749469575062,3011.479248046875,3011.479248046875,3011.479248046875,3011.479248046875,Estável,CRESCIMENTO LEVE
861105,Operador de Central Hidreletrica,1309.857142857143,XGBoost,0.9999715745186587,1309.565673828125,1309.565673828125,1309.565673828125,1309.565673828125,Estável,RETRAÇÃO LEVE
861110,Operador de Quadro de Distribuicao de Energia Eletrica,12987.3,XGBoost,0.9999915718292359,12979.3125,12979.3125,12979.3125,12979.3125,Estável,CRESCIMENTO LEVE
